"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20250301","경의선","서강대","1683","1587","20250304",""
"20250301","경의선","홍대입구","2930","3534","20250304",""
"20250301","경의선","가좌","4638","4249","20250304",""
"20250301","경의선","디지털미디어시티","2366","2096","20250304",""
"20250301","경의선","수색","1870","1741","20250304",""
"20250301","경의선","한국항공대","1108","1508","20250304",""
"20250301","경의선","강매","2145","2053","20250304",""
"20250301","경의선","행신","5761","5961","20250304",""
"20250301","경의선","능곡","3564","3346","20250304",""
"20250301","경의선","곡산","405","493","20250304",""
"20250301","경의선","백마","5540","5161","20250304",""
"20250301","경의선","풍산","5441","5328","20250304",""
"20250301","경의선","일산","8469","7882","20250304",""
"20250301","경의선","탄현","5946","5755","20250304",""
"20250301","경의선","야당","7127","7349","20250304",""
"20250301","경의선","운정","5323","4972","20250304",""
"20250301","경의선","금릉","3999","3914","20250304",""
"20250301","경의선","금촌","6322","5947","20250304",""
"20250301","경의선","월롱","1231","1061","20250304",""
"20250301","경의선","파주","1059","783","20250304",""
"20250301","경의선","문산","5393","4949","20250304",""
"20250301","경의선","임진강","59","44","20250304",""
"20250301","경의선","운천","14","7","20250304",""
"20250301","경인선","개봉","17494","17091","20250304",""
"20250301","경인선","오류동","9762","8939","20250304",""
"20250301","경인선","역곡","20248","20007","20250304",""
"20250301","경인선","부천","29553","30015","20250304",""
"20250301","경인선","송내","19521","17267","20250304",""
"20250301","경인선","부평","28810","31640","20250304",""
"20250301","경인선","백운","5994","5541","20250304",""
"20250301","경인선","동암","13990","13819","20250304",""
"20250301","경인선","주안","17228","14889","20250304",""
"20250301","경인선","제물포","7753","7239","20250304",""
"20250301","경인선","동인천","12841","12582","20250304",""
"20250301","경인선","인천","6013","5208","20250304",""
"20250301","경인선","구일","4694","4378","20250304",""
"20250301","경인선","소사","6902","6173","20250304",""
"20250301","경인선","부개","6798","6195","20250304",""
"20250301","경인선","간석","4771","4457","20250304",""
"20250301","경인선","도원","8087","8403","20250304",""
"20250301","경인선","온수(성공회대입구)","4899","4556","20250304",""
"20250301","경인선","중동","7368","6859","20250304",""
"20250301","경인선","도화","3335","2963","20250304",""
"20250301","경춘선","신내","1744","1547","20250304",""
"20250301","경춘선","갈매","1815","1605","20250304",""
"20250301","경춘선","별내","2114","1697","20250304",""
"20250301","경춘선","퇴계원","2916","2575","20250304",""
"20250301","경춘선","사릉","1556","1538","20250304",""
"20250301","경춘선","금곡","1242","1076","20250304",""
"20250301","경춘선","평내호평","5083","4807","20250304",""
"20250301","경춘선","천마산","1349","1317","20250304",""
"20250301","경춘선","마석","3480","3148","20250304",""
"20250301","경춘선","대성리","670","986","20250304",""
"20250301","경춘선","청평","1956","2058","20250304",""
"20250301","경춘선","상천","289","262","20250304",""
"20250301","경춘선","가평","1857","2119","20250304",""
"20250301","경춘선","굴봉산","89","142","20250304",""
"20250301","경춘선","백양리","215","169","20250304",""
"20250301","경춘선","강촌","568","670","20250304",""
"20250301","경춘선","김유정","710","783","20250304",""
"20250301","경춘선","남춘천","3926","4190","20250304",""
"20250301","경춘선","춘천","2462","2202","20250304",""
"20250301","공항철도 1호선","서울역","14383","14561","20250304",""
"20250301","공항철도 1호선","공덕","2286","3479","20250304",""
"20250301","공항철도 1호선","홍대입구","19472","19015","20250304",""
"20250301","공항철도 1호선","디지털미디어시티","7617","7024","20250304",""
"20250301","공항철도 1호선","마곡나루(서울식물원)","5797","6417","20250304",""
"20250301","공항철도 1호선","김포공항","7854","4519","20250304",""
"20250301","공항철도 1호선","계양","10330","9561","20250304",""
"20250301","공항철도 1호선","검암","4852","4915","20250304",""
"20250301","공항철도 1호선","청라국제도시","5665","5473","20250304",""
"20250301","공항철도 1호선","운서","9345","9915","20250304",""
"20250301","공항철도 1호선","공항화물청사","1126","1560","20250304",""
"20250301","공항철도 1호선","인천공항1터미널","15836","14276","20250304",""
"20250301","공항철도 1호선","인천공항2터미널","8186","6531","20250304",""
"20250301","공항철도 1호선","영종","4301","4486","20250304",""
"20250301","과천선","선바위","5205","4412","20250304",""
"20250301","과천선","경마공원","12129","12118","20250304",""
"20250301","과천선","대공원","5078","5128","20250304",""
"20250301","과천선","과천","5479","4799","20250304",""
"20250301","과천선","정부과천청사","7146","7168","20250304",""
"20250301","과천선","인덕원","18081","17607","20250304",""
"20250301","과천선","평촌","9725","9270","20250304",""
"20250301","과천선","범계","22651","22376","20250304",""
"20250301","분당선","선릉","4911","7716","20250304",""
"20250301","분당선","한티","12395","11597","20250304",""
"20250301","분당선","도곡","4351","4131","20250304",""
"20250301","분당선","구룡","2118","2069","20250304",""
"20250301","분당선","개포동","2962","2912","20250304",""
"20250301","분당선","대모산입구","3590","3334","20250304",""
"20250301","분당선","수서","13272","14671","20250304",""
"20250301","분당선","복정","5","0","20250304",""
"20250301","분당선","수원","7658","7415","20250304",""
"20250301","분당선","서울숲","8877","9499","20250304",""
"20250301","분당선","압구정로데오","15693","18135","20250304",""
"20250301","분당선","강남구청","4776","5782","20250304",""
